checker,examples/checker_tests/bad/typedef-and-type-definitions.p4,newtype restricted to base types (unnecessary restriction?),140
checker,examples/checker_tests/bad/issue1944.p4,bitstring too big (unnecessary restriction?),147
checker,examples/checker_tests/bad/width_e.p4,bitstring too big,147
checker,examples/checker_tests/bad/issue1296.p4,no recursive type specialization allowed (unnecessary restriction?),152
checker,examples/checker_tests/bad/issue532.p4,functions cannot return structs (unnecessary restriction?),154
checker,examples/checker_tests/bad/extract.p4,extract only defined for headers,134
checker,examples/checker_tests/bad/extract1.p4,extract with size param should only work on variable sized headers,134
checker,examples/checker_tests/bad/issue1777-bmv2.p4,v1model register only supports bit<w> elements (unsupported),134
checker,examples/checker_tests/bad/issue477.p4,extract argument restrictions: no header stacks,134
checker,examples/checker_tests/bad/issue478.p4,one-arg extract should not work on variable width headers,134
checker,examples/checker_tests/bad/issue584.p4,hash parameter restrictions,134
checker,examples/checker_tests/bad/issue600.p4,lookahead should not work on variable width headers,134
checker,examples/checker_tests/bad/push_nonconstant.p4,push_front arg should be ctk,134
checker,examples/checker_tests/good/issue1717.p4,bad left hand argument to shift,193
checker,examples/checker_tests/good/shift_precendence.p4,bad left hand argument to shift,193
checker,examples/checker_tests/bad/issue513.p4,no conditionals in actions (target dependent),151
checker,examples/checker_tests/bad/header-not-multiple-of-bytes-bmv2.p4,typechecking that fields are byte aligned for the benefit of BMv2,174
checker,examples/checker_tests/bad/twovarbit.p4,headers can contain only one variable width field,149
checker,examples/checker_tests/bad/issue513.p4,target-dependent behavior (conditionals in actions),151
checker,examples/checker_tests/bad/div3.p4,p4c rejects runtime division,194
checker,examples/checker_tests/good/pvs-struct-1-bmv2.p4,value set typing bug,81
