Kind of test,Test p4 file,Explanation for failure
checker,examples/checker_tests/bad/param.p4,parameter restrictions in spec appendix F
checker,examples/checker_tests/bad/next.p4,header stack next/last only usable in parser
checker,examples/checker_tests/bad/issue513.p4,no conditionals in actions (target dependent)
checker,examples/checker_tests/bad/issue1777-bmv2.p4,v1model register only supports bit<w> elements
checker,examples/checker_tests/bad/issue1732.p4,@match annotation arg must be match kind (unsupported)
checker,examples/checker_tests/bad/issue1296.p4,no recursive type specialization allowed (unnecessary restriction?)
checker,examples/checker_tests/bad/issue394.p4,variable declaration type restriction
checker,examples/checker_tests/bad/issue478.p4,one-arg extract should not work on variable width headers
checker,examples/checker_tests/bad/issue816.p4,parameter restrictions in spec appendix F
checker,examples/checker_tests/bad/dupConst.p4,reject const shadowing
checker,examples/checker_tests/bad/generic1_e.p4,well formed parameter type needs right number of type params
checker,examples/checker_tests/bad/issue532.p4,functions cannot return structs (unnecessary restriction?)
checker,examples/checker_tests/bad/inro.p4,in parameters are not LValues
checker,examples/checker_tests/bad/width1_e.p4,int and bit types cannot have negative widths
checker,examples/checker_tests/bad/twovarbit.p4,headers can contain only one variable width field
checker,examples/checker_tests/bad/tuple-newtype.p4,newtype restricted to base types (unnecessary restriction?)
checker,examples/checker_tests/bad/action-bind.p4,action_refs in default_action and entries should match any args bound in the actions property
stf,examples/checker_tests/good/table-entries-lpm-bmv2.p4,implicit cast not done on args to &&&
stf,examples/checker_tests/good/action_call_ebpf.p4,eBPF arch (unsupported)
stf,examples/checker_tests/good/psa-drop-all-bmv2.p4,PSA arch (unsupported)
stf,examples/checker_tests/good/issue1097-2-bmv2.p4,register extern unimplemented
stf,examples/checker_tests/good/parser_error-bmv2.p4,struct.hdr_field.setValid() fails in eval_setbool
stf,examples/checker_tests/good/table-entries-priority-bmv2.p4,implicit cast not done on args to &&&
stf,examples/checker_tests/good/match-on-exprs-bmv2.p4,case sensitivity in STF hex equality check
stf,examples/checker_tests/good/valid_ebpf.p4,eBPF arch (unsupported)
stf,examples/checker_tests/good/test-parserinvalidargument-error-bmv2.p4,
stf,examples/checker_tests/good/ternary2-bmv2.p4,"empty token thing" error message in STF parser
stf,examples/checker_tests/good/issue447-2-bmv2.p4,
stf,examples/checker_tests/good/checksum3-bmv2.p4,update_checksum extern unimplemented
stf,examples/checker_tests/good/union1-bmv2.p4,extract on uninitialized union tries to evaluate it and fails
stf,examples/checker_tests/good/flag_lost-bmv2.p4,"empty token thing" error message in STF parser
stf,examples/checker_tests/good/issue1755-bmv2.p4,implicit cast not done on integer arguments to advance
stf,examples/checker_tests/good/issue1755-1-bmv2.p4,implicit cast not done on integer arguments to advance
stf,examples/checker_tests/good/issue655-bmv2.p4,verify_checksum extern unimplemented
stf,examples/checker_tests/good/table-entries-exact-ternary-bmv2.p4,implicit cast not done on args to &&&
stf,examples/checker_tests/good/union2-bmv2.p4,extract on uninitialized union tries to evaluate it and fails
stf,examples/checker_tests/good/issue1566-bmv2.p4,counter extern unimplemented
